query,latency_ms
मैनहट्टन परियोजना की सफलता का तुरंत क्या प्रभाव पड़ा?,12282.7
"न्याय को पीड़ित, समुदाय और अपराधी द्वारा अपराधी कृत्य के कारण हुए नुकसान की मरम्मत करने के लिए डिज़ाइन किया गया है। प्रश्न 19 विकल्प:",202.35
फ्लूम किस दिशा में बहता है,82.36
विभिन्न प्रकार की सामाजिक सुरक्षा विकलांगता,64.76
कारों पर अमेरिकी ध्वज के स्टिकर का क्या अर्थ है?,76.92
स्नातक छात्र कक्षा में क्या पहनते हैं,158.73
लिफ्ट का मतलब है,79.01
क्या आप विस्तृत कटौती प्रपत्र पर राज्य के लिए भुगतान किए गए सी.पी.ए. शुल्क का दावा कर सकते हैं?,86.21
सिसडेट का उपयोग कैसे करें?,69.89
कोयला खनिक की बेटी कास्ट,79.38
क्या बी.जे. के खाद्य टिकट स्वीकार करता है,112.67
क्रेविस को परिभाषित करें,68.55
"डरहम, ओंटारियो में एक सुरक्षा अधिकारी को किराए पर लेने के लिए कितना होगा?",90.05
कानूनी शब्दावली में 'लाच' का क्या अर्थ है,115.56
कौन सी काउंटी में युकैपा कैलिफोर्निया है,151.42
टेक्सस ड्राइविंग लाइसेंस नवीनीकरण के लिए किन दस्तावेजों की आवश्यकता होती है?,95.24
समुद्र तल से ऊंचाई पर,77.56
क्या डी.वी.आर. सेवा है,91.84
क्या स्नातक कार्यक्रम में स्नातक होता है?,79.38
कश कारण से मध्य पीठ दर्द होता है,69.79
कौन सी काउंटी अल्बर्टविले में है,83.99
क्या पूरक योजना कटौती योग्य राशि को कवर करती है?,87.24
क्या आपको अदृश्यलाइन के लिए वीनियर प्राप्त करना है?,84.55
जिस वजह से यकृत बढ़ जाता है,82.43
घरेलू उपकरणों के लिए विशिष्ट खर्च,174.55
बीयर मिलियन क्या है?,153.91
नागरिक अधिकार आंदोलन में महत्वपूर्ण नाम,147.09
टोंटो जापानी क्या है?,100.28
बोरेन छात्रवृत्ति निबंध उदाहरण,170.26
बहुत ही अंतर्दृष्टिपूर्ण का क्या अर्थ है,159.32
